Wohnviertel,Wohnviertel_id,Jahr,Einwohner
Stadt Basel,90,2000,166848
Stadt Basel,90,2001,165548
Stadt Basel,90,2002,166120
Stadt Basel,90,2003,166286
Stadt Basel,90,2004,166646
Stadt Basel,90,2005,166203
Stadt Basel,90,2006,165968
Stadt Basel,90,2007,166217
Stadt Basel,90,2008,167763
Stadt Basel,90,2009,169037
Stadt Basel,90,2010,168804
Stadt Basel,90,2011,170331
Stadt Basel,90,2012,171428
Stadt Basel,90,2013,173330
Stadt Basel,90,2014,174286
Stadt Basel,90,2015,175131
Stadt Basel,90,2016,176015
Stadt Basel,90,2017,176461
Stadt Basel,90,2018,177595
Altstadt Grossbasel,1,2000,2135
Altstadt Grossbasel,1,2001,2117
Altstadt Grossbasel,1,2002,2108
Altstadt Grossbasel,1,2003,2088
Altstadt Grossbasel,1,2004,2082
Altstadt Grossbasel,1,2005,2085
Altstadt Grossbasel,1,2006,2057
Altstadt Grossbasel,1,2007,2113
Altstadt Grossbasel,1,2008,2083
Altstadt Grossbasel,1,2009,2058
Altstadt Grossbasel,1,2010,2033
Altstadt Grossbasel,1,2011,2057
Altstadt Grossbasel,1,2012,2426
Altstadt Grossbasel,1,2013,2461
Altstadt Grossbasel,1,2014,2454
Altstadt Grossbasel,1,2015,2470
Altstadt Grossbasel,1,2016,2546
Altstadt Grossbasel,1,2017,2590
Altstadt Grossbasel,1,2018,2599
Vorstadte,2,2000,4740
Vorstadte,2,2001,4698
Vorstadte,2,2002,4647
Vorstadte,2,2003,4557
Vorstadte,2,2004,4535
Vorstadte,2,2005,4572
Vorstadte,2,2006,4598
Vorstadte,2,2007,4609
Vorstadte,2,2008,4704
Vorstadte,2,2009,4776
Vorstadte,2,2010,4746
Vorstadte,2,2011,4668
Vorstadte,2,2012,4662
Vorstadte,2,2013,4814
Vorstadte,2,2014,4868
Vorstadte,2,2015,4932
Vorstadte,2,2016,5022
Vorstadte,2,2017,5015
Vorstadte,2,2018,5013
Am Ring,3,2000,10385
Am Ring,3,2001,10218
Am Ring,3,2002,10294
Am Ring,3,2003,10323
Am Ring,3,2004,10501
Am Ring,3,2005,10499
Am Ring,3,2006,10369
Am Ring,3,2007,10363
Am Ring,3,2008,10380
Am Ring,3,2009,10434
Am Ring,3,2010,10386
Am Ring,3,2011,10522
Am Ring,3,2012,10563
Am Ring,3,2013,10751
Am Ring,3,2014,10622
Am Ring,3,2015,10642
Am Ring,3,2016,10734
Am Ring,3,2017,10810
Am Ring,3,2018,11005
Breite,4,2000,8657
Breite,4,2001,8582
Breite,4,2002,8357
Breite,4,2003,8366
Breite,4,2004,8371
Breite,4,2005,8360
Breite,4,2006,8467
Breite,4,2007,8466
Breite,4,2008,8486
Breite,4,2009,8469
Breite,4,2010,8526
Breite,4,2011,8623
Breite,4,2012,8688
Breite,4,2013,8806
Breite,4,2014,8863
Breite,4,2015,8848
Breite,4,2016,8936
Breite,4,2017,8904
Breite,4,2018,8990
St. Alban,5,2000,9979
St. Alban,5,2001,9903
St. Alban,5,2002,10056
St. Alban,5,2003,9903
St. Alban,5,2004,10076
St. Alban,5,2005,10083
St. Alban,5,2006,10175
St. Alban,5,2007,10217
St. Alban,5,2008,10470
St. Alban,5,2009,10516
St. Alban,5,2010,10611
St. Alban,5,2011,10674
St. Alban,5,2012,10677
St. Alban,5,2013,10798
St. Alban,5,2014,10890
St. Alban,5,2015,10909
St. Alban,5,2016,10896
St. Alban,5,2017,11158
St. Alban,5,2018,11534
Gundeldingen,6,2000,18244
Gundeldingen,6,2001,18099
Gundeldingen,6,2002,18092
Gundeldingen,6,2003,18271
Gundeldingen,6,2004,18304
Gundeldingen,6,2005,18326
Gundeldingen,6,2006,18372
Gundeldingen,6,2007,18443
Gundeldingen,6,2008,18621
Gundeldingen,6,2009,18702
Gundeldingen,6,2010,18471
Gundeldingen,6,2011,18618
Gundeldingen,6,2012,18649
Gundeldingen,6,2013,18833
Gundeldingen,6,2014,18941
Gundeldingen,6,2015,18860
Gundeldingen,6,2016,18881
Gundeldingen,6,2017,18819
Gundeldingen,6,2018,18779
Bruderholz,7,2000,8987
Bruderholz,7,2001,8954
Bruderholz,7,2002,8897
Bruderholz,7,2003,8851
Bruderholz,7,2004,8821
Bruderholz,7,2005,8747
Bruderholz,7,2006,8699
Bruderholz,7,2007,8787
Bruderholz,7,2008,8803
Bruderholz,7,2009,8882
Bruderholz,7,2010,8911
Bruderholz,7,2011,8984
Bruderholz,7,2012,9005
Bruderholz,7,2013,9065
Bruderholz,7,2014,9059
Bruderholz,7,2015,9065
Bruderholz,7,2016,9208
Bruderholz,7,2017,9245
Bruderholz,7,2018,9357
Bachletten,8,2000,13500
Bachletten,8,2001,13344
Bachletten,8,2002,13347
Bachletten,8,2003,13216
Bachletten,8,2004,13288
Bachletten,8,2005,13223
Bachletten,8,2006,13151
Bachletten,8,2007,13230
Bachletten,8,2008,13258
