Wohnviertel,Wohnviertel_id,Jahr,Einwohner
Stadt Basel,90,2000,166848
Stadt Basel,90,2001,165548
Stadt Basel,90,2002,166120
Stadt Basel,90,2003,166286
Stadt Basel,90,2004,166646
Stadt Basel,90,2005,166203
Stadt Basel,90,2006,165968
Stadt Basel,90,2007,166217
Stadt Basel,90,2008,167763
Stadt Basel,90,2009,169037
Stadt Basel,90,2010,168804
Stadt Basel,90,2011,170331
Stadt Basel,90,2012,171428
Stadt Basel,90,2013,173330
Stadt Basel,90,2014,174286
Stadt Basel,90,2015,175131
Stadt Basel,90,2016,176015
Stadt Basel,90,2017,176461
Stadt Basel,90,2018,177595
